Date,Open,High,Low,Close,Adj Close,Volume
12-04-2022,1757.5,1757.5,1727.75,1742.449951,1724.190063,6456184
13-04-2022,1754.949951,1757.5,1732,1748.550049,1730.226196,6257693
18-04-2022,1605.5,1650,1590,1621.400024,1604.408691,30523965
19-04-2022,1636.650024,1636.650024,1550,1562,1545.631104,17044923
20-04-2022,1575,1596.300049,1563,1587.699951,1571.061768,10678747
21-04-2022,1595,1627.199951,1589.25,1618.800049,1601.835938,7766514
22-04-2022,1604.349976,1610.699951,1582.400024,1585.449951,1568.835327,8134245
25-04-2022,1572.800049,1572.800049,1554.099976,1561.099976,1544.740479,7000570
26-04-2022,1577.199951,1592,1566.550049,1581,1564.432007,5345435
27-04-2022,1572.75,1572.75,1550.349976,1552.800049,1536.527588,8819356
28-04-2022,1570,1601.800049,1557.449951,1582.599976,1566.015259,9245177
29-04-2022,1590,1597.300049,1560.800049,1567.550049,1551.123047,9831395
02-05-2022,1550.900024,1552.75,1531,1541,1524.851196,7072627
04-05-2022,1547.25,1570,1530.150024,1535.550049,1519.458374,6220959
05-05-2022,1560.050049,1589.400024,1557.449951,1585.150024,1568.538574,6144870
06-05-2022,1550,1561.849976,1535.050049,1542.849976,1526.681763,6171472
09-05-2022,1540,1586.800049,1522.150024,1570.349976,1553.893555,6832202
10-05-2022,1558,1569.150024,1546.050049,1553,1536.725464,6212545
11-05-2022,1549.949951,1549.949951,1511.599976,1526.75,1510.750488,7846080
12-05-2022,1514,1527.5,1504.300049,1508.800049,1492.988647,7034979
13-05-2022,1519.300049,1529.25,1498.099976,1504.400024,1488.634766,6723761
16-05-2022,1510,1511.849976,1478.650024,1489.099976,1473.494995,6145331
17-05-2022,1494.900024,1525,1480.900024,1518.449951,1502.537476,6516378
18-05-2022,1522,1549.699951,1505.300049,1509.199951,1493.384399,6594126
19-05-2022,1481,1484.699951,1417.650024,1427.150024,1412.194336,16561140
20-05-2022,1453,1466.75,1446.699951,1455.150024,1439.900879,10488908
23-05-2022,1455.099976,1488,1450.050049,1468.400024,1453.011963,5887569
24-05-2022,1468.599976,1469.550049,1435.25,1441,1425.89917,5693167
25-05-2022,1435,1442.5,1399.25,1410.449951,1395.669189,9630092
26-05-2022,1418,1430,1407.050049,1423.949951,1409.02771,13040065
27-05-2022,1443.949951,1467,1437.400024,1461.349976,1446.035889,8284860
30-05-2022,1487,1530,1485,1526.800049,1510.800049,10904213
31-05-2022,1510.699951,1518,1488.150024,1503.599976,1503.599976,16033857
01-06-2022,1513,1514.75,1472.099976,1478.550049,1478.550049,8738508
02-06-2022,1484,1513.849976,1475.599976,1508,1508,7205840
03-06-2022,1524.900024,1555,1518,1521.699951,1521.699951,9395707
06-06-2022,1516,1536.599976,1493,1530.050049,1530.050049,6624883
07-06-2022,1519.849976,1519.849976,1502.599976,1506.699951,1506.699951,4904592
08-06-2022,1520.199951,1520.199951,1492,1500,1500,4697608
09-06-2022,1485,1516.949951,1481.5,1515,1515,4361061
10-06-2022,1486.099976,1493.949951,1473.599976,1476.800049,1476.800049,6516436
13-06-2022,1443.599976,1443.599976,1411.699951,1424.5,1424.5,6987685
14-06-2022,1410,1448.900024,1403.150024,1440.550049,1440.550049,6090247
15-06-2022,1440.199951,1446.400024,1418.849976,1422.199951,1422.199951,4651958
16-06-2022,1438,1443.75,1392,1397.199951,1397.199951,6641772
17-06-2022,1391.050049,1396.949951,1367.150024,1387.300049,1387.300049,9692047
20-06-2022,1390.050049,1422.349976,1382,1414.150024,1414.150024,4595194
21-06-2022,1424,1456,1422.75,1449.900024,1449.900024,6270787
22-06-2022,1436.050049,1459.599976,1435,1437.25,1437.25,6253366
23-06-2022,1439.800049,1458,1433,1452.449951,1452.449951,6254281
24-06-2022,1458,1467.5,1428.900024,1441.099976,1441.099976,6114340
27-06-2022,1468.050049,1484,1465.150024,1474.599976,1474.599976,4511097
28-06-2022,1469,1488.25,1453,1480.150024,1480.150024,4412178
29-06-2022,1464.699951,1477,1457,1463.25,1463.25,5060038
